Municipio,Exposición a la amenaza
Azua,12.50
Bahoruco,2.91
Barahona,9.01
Dajabón,1.79
Distrito Nacional,3.84
Duarte,0.27
El Seybo,1.70
Espaillat,0.79
Hato Mayor,1.55
Independencia,6.90
La Altagracia,22.43
La Estrelleta,1.45
La Romana,0.71
La Vega,21.88
María Trinidad Sánchez,1.88
Monseñor Nouel,21.09
Monte Cristi,14.49
Monte Plata,13.16
Pedernales,0.28
Peravia,1.19
Puerto Plata,7.49
Sánchez Ramírez,5.59
Salcedo,0.76
Samaná,5.36
San Cristóbal,3.32
San José de Ocoa,0.00
San Juan,7.64
San Pedro de Macorís,5.10
Santiago Rodríguez,0.00
Santiago,19.03
Santo Domingo,1.64
Valverde,1.23
